,X.1,X,Month,Day,Year,Time,Location,Operator,Flight..,Route,Type,Registration,cn.In,Aboard,Fatalities,Ground,Summary,CrashStatus
1688,1688,1688,1,28,1961,12'20,New York,American Airlines,,Training,Boeing 707-123,N7502A,17629/8,6,6,0,NA,Y
1689,1689,1689,2,3,1961,23:55,Indonesia,Garuda Indonesia Airlines,542,Surabaya - Balikpapan,Douglas DC-3,PK-GDY,13052,26,26,0,NA,Y
1690,1690,1690,2,15,1961,10:05,Belgium,Sabena,548,New York City - Brussels,Boeing B-707-320,OO-SJB,17624/92,72,72,1,NA,Y
1691,1691,1691,3,9,1961,15:00,Venezuela,Linea Aeropostal Venezolana,,San Antonio-Maiquetia,Douglas DC-3,YV-C-AZQ,19986,12,12,0,NA,Y
1692,1692,1692,3,25,1961,,Brazil,Military - Brazilian Air Force,,Rio de Janerio - Belem,Douglas C-47DL,C-47-2055,4473,28,23,0,NA,Y
1693,1693,1693,3,28,1961,20:08,East Germany,Ceskoslovenske Aerolinie,,Prague - Zurich,Ilyushin IL-18,OK-OAD,180002102,52,52,0,NA,Y
1694,1694,1694,5,29,1961,,Singapore,Military - Royal Air Force,,,Handley Page Hastings C-2,WD497,,13,13,0,NA,Y
1695,1695,1695,5,30,1961,1:20,Portugal,KLM Royal Dutch Airlines,897,"Rome  - Lisbon -  Madrid - Santa Maria, Azores -Caracas",McDonnell Douglas DC-8-53,PH-DCL,45615,61,61,0,NA,Y
1696,1696,1696,6,12,1961,4:11,Egypt,KLM Royal Dutch Airlines,823,Rome - Cairo,Lockheed L-188C Electra,PH-LLM,2019,36,20,0,NA,Y
1697,1697,1697,6,17,1961,22:23,Nigeria,Continentale Deutsche Luftreederei,,Tripoli - Kano,Douglas C-54B-1-DC,D-ABEB,10530,7,1,0,NA,Y
1698,1698,1698,6,30,1961,20:57,Argentina,Transcontinental,,Salta - Cordoba - Buenos Aires,Curtiss C-46A,LV-FTO,193,35,24,0,NA,Y
1699,1699,1699,7,10,1961,,USSR,Aeroflot,,,Tupolev TU-104B,CCCP-42447,,85,1,0,NA,Y
1700,1700,1700,7,11,1961,11:36,Colorado,United Air Lines,859,Omaha - Denver,McDonnell Douglas DC-8-12,N8040U,45307,122,17,1,NA,Y
1701,1701,1701,7,12,1961,1:29,Morocco,Ceskoslovenske Aerolinie,,Zurich - Rabat,Ilyushin IL-18B,OK-PAF,181002904,72,72,0,NA,Y
1702,1702,1702,7,19,1961,8:00,Argentina,Aerolineas Argentinas,,Buenos Aires - Comodoro,Douglas DC-6,LV-ADW,43136,67,67,0,NA,Y
1703,1703,1703,7,21,1961,2:11,Alaska,Alaska Airlines,,Seattle - Shemya AFB,Douglas DC-6A,N6118C,45243/919,6,6,0,NA,Y
1704,1704,1704,8,6,1961,,Hungary,Malev Hungarian Airlines,,,Douglas DC-3,HA-TSA,20492,27,27,3,NA,Y
1705,1705,1705,8,9,1961,17:30,Norway,Cunard Eagle Airways,,London - Sola,Vickers Viking 3B,G-AHPM,152,39,39,0,NA,Y
1706,1706,1706,8,13,1961,,Laos,Air America,,,Curtiss C-46F,B-136,22465,6,6,0,NA,Y
1707,1707,1707,8,29,1961,18:22,Greenland,Eastern Provincial Airways,,,de Havilland Canada DHC-3 Otter,CF-MEX,,6,1,0,NA,Y
1708,1708,1708,9,1,1961,2:05,Illinois,Trans World Airlines,529,Chicago - Las Vegas,Lockheed 049 Constellation,N86511,2035,78,78,0,NA,Y
1709,1709,1709,9,5,1961,,Ethiopia,Ethiopian Airlines,,Addis Ababa - Asmara,Douglas DC-3,ET-T-16,13305,19,5,0,NA,Y
1710,1710,1710,9,6,1961,,Costa Rica,Lineas Aéreas Costarricenses,,,Douglas DC-3,TI-1006C,4960,2,2,0,NA,Y
1711,1711,1711,12,29,1961,,Indonesia,Garuda Indonesia Airlines,,,Douglas DC-3,PK-GDZ,12514,14,14,0,NA,Y
1712,1712,1712,9,10,1961,3:55,Ireland,President Airlines,,Shannon - Gander,Douglas DC-6B,N90773,44058/365,83,83,0,NA,Y
1713,1713,1713,9,12,1961,22:09,Morrocco,Air France,2005,Paris - Rabat,Sud-Aviation Caravelle III,F-BJTB,68,77,77,0,NA,Y
1714,1714,1714,9,17,1961,22:13,Zambia,United Nations Organization,,Leopoldville - Ndola,Douglas DC-6B,SE-BDY,43559,16,16,0,NA,Y
1715,1715,1715,9,17,1961,8:57,Illinois,Northwest Orient Airlines,706,Chicago - Tampa,Lockheed 188C  Electra,N137US,1142,37,37,0,NA,Y
1716,1716,1716,9,23,1961,18:02,Turkey,Turkish Airlines (THY),,Adana - Ankara,Fokker F-27 Friendship 100,TC-TAY,10182,29,28,0,NA,Y
1717,1717,1717,10,7,1961,2:00,France,Derby Aviation,,London - Perpignan,Douglas DC-3,G-AMSW,16171/32919,34,34,0,NA,Y
1718,1718,1718,10,10,1961,,Libya,Military - Royal Air Force,,,Handley Page Hastings C-2,WD498,,37,17,0,NA,Y
1719,1719,1719,11,1,1961,14:26,Guernsey,Bristol 170 Freighter 31M,,Cherboug - Les Prevosts,Silver City Airways,G-ANWL,13260,10,2,0,NA,Y
1720,1720,1720,11,1,1961,2:15,Brazil,Panair do Brasil,,Lisbon - Ilha do Sal - Recife,Douglas DC-7C,PP-PDO,44872,45,45,0,NA,Y
1721,1721,1721,11,8,1961,21:24,Virginia,Imperial Airways,201/8,Baltimore - Columbia SC,Lockheed C-69 Constellation,N2737A,1976,79,77,0,NA,Y
1722,1722,1722,11,11,1961,,Off Puerto Rico,Air Haiti International,,"San Juan, PR - Managua",Lockheed L-749A Constellation,HH-ABA,2615,3,3,0,NA,Y
1723,1723,1723,11,23,1961,5:40,Brazil,Aerolineas Argentinas,,Sao Paulo - Trinidad,de Havilland Comet 4,LV-AHR,6430,52,52,0,NA,Y
1724,1724,1724,11,23,1961,,Sao Tomé,Military - Força Aérea Portuguesa,,,Douglas C-54 Skymaster,,,35,21,0,NA,Y
1725,1725,1725,11,30,1961,,Australia,Ansett ANA,,Sydney - Canberra,Vickers Viscount 720,VH-TVC,46,15,15,0,NA,Y
1726,1726,1726,12,4,1961,,Germany,Lufthansa,,Training,Boeing 720-030B,D-ABOK,18058/202,3,3,0,NA,Y
1727,1727,1727,12,12,1961,,Belgium,Military - Belgian Air Force,,,Fairchild C-119G / Fairchild C-119,CP-23 / CP-25,10951/ 11082,13,13,8,NA,Y
1728,1728,1728,12,15,1961,,Nicaragua,Lanica,,,Curtiss C-46,AN-AOE,,2,2,0,NA,Y
1729,1729,1729,12,21,1961,,Turkey,British European Airways,,Ankara - Nicosia,de Havilland Comet 4B,G-ARJM,6456,34,27,0,NA,Y
1730,1730,1730,12,24,1961,10:50,Alaska,Kodiak Airways,,Old Harbor - Kaguyak,Grumman G-21A Goose,N1503V,1020,5,1,0,NA,Y
1731,1731,1731,1,22,1962,15:16,Bolivia,Corporacion Boliviano de Fomento,,,Curtiss C-46D,CP-541,33579,6,6,0,NA,Y
1732,1732,1732,1,27,1962,,USSR,Aeroflot,,,Antonov AN-10A,CCCP-11148,,13,13,0,NA,Y
1733,1733,1733,2,4,1962,10:05,Peru,Faucett,,Huanuco - Pucallpa,Douglas DC-3,OB-PBH-530,7331,18,18,0,NA,Y
1734,1734,1734,2,25,1962,,Venezuela,Avensa,,Porlamar - Cumana,Fairchild F-27,YV-C-EVH,12,23,23,0,NA,Y
1735,1735,1735,2,25,1962,14:35,Colombia,Avianca,,Manizales - Bogota,Douglas C-47A,HK-502,19653,2,2,0,NA,Y
1736,1736,1736,3,1,1962,10:09,New York,American Airlines,1,New York City - Los Angeles,Boeing B-707-123B,N7506A,17633/12,95,95,0,NA,Y
1737,1737,1737,3,4,1962,18:20,Cameroon,Caledonian Airways,153,Douala - Lisboa,Douglas DC-7C,G-ARUD,45160/754,111,111,0,NA,Y
1738,1738,1738,3,6,1962,,South Africa,South African Airways,512,Grahamtown - Queentown,Douglas DC-3,ZS-DJC,16189/32937,7,2,0,NA,Y
1739,1739,1739,3,8,1962,17:43,Turkey,Turkish Airlines (THY),,Ankara - Adana,Fairchild F-27,TC-KOP,83,11,11,0,NA,Y
1740,1740,1740,3,8,1962,,Italy,Societa Aerea Mediterranea,,Khartoum - Rome,Douglas DC-6B,I-DIMO,44254/456,5,5,0,NA,Y
1741,1741,1741,3,8,1962,17:30,France,Military - U.S. Air Force,,Training exercise,Lockheed C-130A Hercules,55-0020,3047,15,15,0,NA,Y
1742,1742,1742,3,15,1962,1:14,Alaska,Flying Tiger Line,7816,"Cold Bay, AK - Adak, AK",Lockheed 1049H Super Constellation,N6911C,4804,7,1,0,NA,Y
1743,1743,1743,3,15,1962,0:30,Philippine Sea,Flying Tiger Line,739/14,"Travis AFB - Honolulu - Agana, Guam - Clark AFB -Saigon",Lockheed 1049H Super Constellation,N6921C,4817,107,107,0,NA,Y
1744,1744,1744,3,20,1962,,Algeria,Military - French Air Force,,,Nord 2501 Noratlas,204,,11,11,0,NA,Y
1745,1745,1745,3,27,1962,17:45,Cuba,Cubana de Aviacion,,Santiago de Cuba - Havana,Ilyushin IL-14,CU-T819,,22,22,0,NA,Y
1746,1746,1746,4,6,1962,15:00,Colombia,Military - Colombian Air Force,,Bogota - Araracuara - Villavicencio,Douglas C-47,FAC-563,,31,31,0,NA,Y
1747,1747,1747,4,22,1962,,Colombia,AVISPA,,Bahia Solano - Quibdo,Douglas C-47A-1,HK-524,12075,40,40,0,NA,Y
1748,1748,1748,10,12,1962,,Spain,Iberia Airlines,,Barcelona - Valencia - Seville,Convair CV-440 -62,EC-ATB,443,18,18,0,NA,Y
1749,1749,1749,5,6,1962,13:29,England,East Anglian Flying Services,,"Jersey, Channel Islands - Portsmouth, England",Douglas C-47A,G-AGZB,12180,18,12,0,NA,Y
1750,1750,1750,5,8,1962,,Burma,Military - Union of Burma Air Force,,,Douglas C-47,UB-BG-707,,32,32,0,NA,Y
1751,1751,1751,5,9,1962,19:30,Brazil,Cruzeiro,,Rio de Janerio - Vitoria,Convair CV-240-0,PP-CEZ,25,25,23,0,NA,Y
1752,1752,1752,5,12,1962,,Greenland,East Provincial Airways,,Sondre Stromfjord - Godthab,Consolidated Catalina,CF-IHA,,21,15,0,NA,Y
1753,1753,1753,5,15,1962,,Egypt,United Arab Airlines,,"Cairo, Egypt  - Beirut, Lebanon",Douglas DC-3,SU-AJM,,3,3,0,NA,Y
1754,1754,1754,5,17,1962,,Kenya,Military - U.S. Air Force,,,Lockheed C-130A Hercules,56-0546,3154,13,13,0,NA,Y
1755,1755,1755,5,22,1962,11:40,West Germany,Military - U.S. Navy,,,Lockheed C121J,131390,4310,26,26,0,NA,Y
1756,1756,1756,5,22,1962,21:21,Missouri,Continental Airlines,11,"Chicago - Kansas City, MO",Boeing B-707-124,N70775,17611/49,45,45,0,NA,Y
1757,1757,1757,6,3,1962,12:35,France,Air France,,Paris - New York City,Boeing B-707-328,F-BHSM,17920/159,132,130,0,NA,Y
1758,1758,1758,6,4,1962,,Bulgaria,Aeroflot,,,Tupolev Tu-104B,CCCP-42491,21604,5,5,0,NA,Y
1759,1759,1759,6,22,1962,4:01,West Indies,Air France,117,Paris - Pointe-a Pitre - Santaigo,Boeing B-707-328,F-BHST,18247/274,112,112,0,NA,Y
1760,1760,1760,6,28,1962,,Russia,Aeroflot,,Lvov - Sochi,Antonov AN-10A,CCCP11186,,81,81,0,NA,Y
1761,1761,1761,6,30,1962,,USSR,Aeroflot,,,Tupolev TU-104A,CCCP-42370,86601301,84,84,0,NA,Y
1762,1762,1762,7,6,1962,,USSR,Aeroflot,,,Ilyushin IL-14,,,14,14,0,NA,Y
1763,1763,1763,7,7,1962,23:59,India,Alitalia,771,Bangkok - Bombay,McDonnell Douglas DC-8-43,I-DIWD,45631/160,94,94,0,NA,Y
1764,1764,1764,7,9,1962,21:42,Italy,Trans Mediterranean Airways,,,Douglas DC-4,OD-AEC,42918,6,6,0,NA,Y
1765,1765,1765,7,15,1962,,Pakistan,Indian Airlines,,"Kabul  - Amritsar, India",Douglas C-47A,VT-AUS,20289,3,1,0,NA,Y
1766,1766,1766,7,16,1962,,India,Kalinga Airlines,,,Douglas C-47,VT-DFZ,4647,9,9,0,NA,Y
1767,1767,1767,7,19,1962,15:45,Thailand,United Arab Airlines,869,Hong Kong - Bangkok,de Havilland Comet 4C,SU-AMW,6464,26,26,0,NA,Y
1768,1768,1768,7,22,1962,23:19,Hawaii,Canadian PacifiAir Lines,323,"Honolulu - Nadi, Fiji",Bristol Britannia 314,CF-CZB,13394,40,27,0,NA,Y
1769,1769,1769,7,28,1962,,Russia,Aeroflot,,,Antonov An-10A,CCCP-11186,402003,81,81,0,NA,Y
1770,1770,1770,7,30,1962,,France,Air France,,Training,Douglas DC-3,F-BAOE,11769,8,4,0,NA,Y
1771,1771,1771,8,1,1962,13:15,Nepal,Royal Nepal Airlines,,Katmandu - New Deli,Douglas DC-3,9N-AAH,6216,10,10,0,NA,Y
1772,1772,1772,8,20,1962,22:08,Brazil,Panair do Brazil,,Rio de Janeiro - Lisbon,McDonnell Douglas DC-8-33,PP-PDT,45273/121,105,15,0,NA,Y
1773,1773,1773,8,23,1962,15:57,Colombia,Taxader Airlines,,Berranca Bermeja - Bucaramanga,Douglas DC-3,HK-794,4551,32,20,0,NA,Y
1774,1774,1774,8,24,1962,,Peru,Faucett,,,Douglas DC-3,OB-PBN-659,25839,9,9,0,NA,Y
1775,1775,1775,9,2,1962,,USSR,Aeroflot,,Khabarovk - Petropavlovsk,Tupolev TU-104A,CCCP-42366,86601103,86,86,0,NA,Y
1776,1776,1776,9,3,1962,16:55,Japan,Military - Japan Maritime Self Defense Force,,,Lockheed P2V-7,KA-4628,,12,12,1,NA,Y
1777,1777,1777,9,4,1962,21:00,Ohio,Private - Ashland Oil Company,,,Lockheed 18 Lodestar,N1000F,2463,13,13,0,NA,Y
1778,1778,1778,9,10,1962,9:00,Czechoslovakia,Ceskoslovenske Aerolinie,,Bratislava - Brno,Avia 14,OK-MCT,90807103,34,11,0,NA,Y
1779,1779,1779,9,10,1962,11:05,Washington,Military - U.S. Air Force,,Ellsworth AFB - Fairchild AFB,Boeing KC-135A,60-0352,18127,44,44,0,NA,Y
1780,1780,1780,9,10,1962,,Bolivia,Aerolineas Abaroa,,Caranavi - Rurrenabaque,Douglas C-47A,CP-710,20230,4,4,0,NA,Y
1781,1781,1781,9,21,1962,,India,Kalinga Airlines,,,Douglas C-47A,VT-DGX,12142,8,8,0,NA,Y
1782,1782,1782,9,23,1962,21:00,North AtlantiOcean,Flying Tiger Line,923,"Gander, Newfoundland - Frankfurt, Germany",Lockheed 1049H-82 Super Constellation,N6923C,4827,76,28,0,NA,Y
1783,1783,1783,10,10,1962,18:30,Canada,Trans Canada Air Lines,,,Vickers 757 Viscount,CF-THA,218,19,2,0,NA,Y
1784,1784,1784,10,12,1962,,Philippines,Philippine Air Lines,,Training,Fokker F-27 Friendship 100,PI-C503,10191,3,3,0,NA,Y
1785,1785,1785,10,12,1973,,Mexico,Avionas  Banamex,,,de Havilland DH-125-1A,XA-COL,25086,8,8,0,NA,Y
1786,1786,1786,10,19,1962,20:52,Connecticut,Allegheny Airlines,928,"Washington D.C. - Providence, RI",Convair CV-340/440,N8415N,125,52,1,0,NA,Y
1787,1787,1787,10,25,1962,,Russia,Aeroflot,,,Tupolev TU-104B,CCCP-42495,21703,10,10,0,NA,Y
1788,1788,1788,11,10,1962,14:37,South Vietnam,Air Vietnam (South Vietnam),,Hue - Da Nang,Douglas DC-3,XV-NID,16074/3282,27,27,0,NA,Y
1789,1789,1789,11,19,1962,,Japan,All Nippon Airways,,,Vickers 828 Viscount,JA8202,444,4,4,0,NA,Y
1790,1790,1790,11,23,1962,12:24,Maryland,United Air Lines,297,Newark - Washington D.C.,Vickers Viscount 745D,N7430,128,18,18,0,NA,Y
1791,1791,1791,11,23,1962,,Sao Tomé & Principe,Military - Portuguese Air Force,,,Douglas C-54D,7502,10773,37,23,0,NA,Y
1792,1792,1792,11,23,1962,14:10,France,Malev Hungarian Airlines,355,Frankfurt - Paris,Ilyushin IL-18D,HA-MOD,180002002,21,21,0,NA,Y
1793,1793,1793,11,26,1962,12:09,Brazil,VASP / Private,,Sao Paulo - Rio de Janeiro,Saab Scandia / Cessna 310,PP-SRA,107,26,26,0,NA,Y
1794,1794,1794,11,27,1962,3:40,Peru,Varig,810,Porto Alegre - Lima,Boeing B-707-441,PP-VJB,17906/129,97,97,0,NA,Y
1795,1795,1795,11,30,1962,21:45,New York,Eastern Air Lines,512,Charlotte - New York City,Douglas DC-7B,N815D,45084/711,51,25,0,NA,Y
1796,1796,1796,12,6,1962,17:00,Colombia,Taxader Airlines,209,Bucaramanga - Barrancabermeja,Douglas C-47,HK-437E,4697,26,24,0,NA,Y
1797,1797,1797,12,14,1962,2:19,Brazil,Panair do Brasil,,Belem - Manaus,Lockheed 049-46-21 Constellation,PP-PDE,2047,50,50,0,NA,Y
1798,1798,1798,12,14,1962,22:12,California,Flying Tiger Line,183,Chicago - Burbank,Lockheed 1049H Super Constellation,N6913C,4810,5,5,3,NA,Y
1799,1799,1799,12,19,1962,19:30,Poland,LOT Polish Airlines,,Berlin - Warsaw,Vickers Viscount 804,SP-LVB,395,33,33,0,NA,Y
1800,1800,1800,12,22,1962,,Brazil,Varig,,Rio de Janeiro - Brasilia,Convair CV-240-2,PP-VCQ,103,40,1,0,NA,Y
1801,1801,1801,12,28,1962,,The Netherlands,Carvair ATL-98,,"Southend, England - Rotterdam, The Netherlands",Channel Air Bridge,G-ARSF,18339,18,1,0,NA,Y
1802,1802,1802,12,29,1962,1:11,France,Air Nautic,,Bastia - Ajaccio,Boeing B307-1 Stratoliner,F-BELZ,2001,25,25,0,NA,Y
1803,1803,1803,3,10,1964,7:00,Louisana,Commercial Air Taxi,,,Bell 74G,N994B,,2,2,0,NA,Y
1804,1804,1804,1,14,1963,23:28,Alaska,Wien Alaska Airlines,,,Beech AT-11,N65458,,6,5,0,NA,Y
1805,1805,1805,1,15,1963,,Brazil,Cruzeiro,,,Convair CV-240-0,PP-CEV,6,45,13,7,NA,Y
1806,1806,1806,1,17,1963,15:53,Utah,West Coast Airlines,703,Training,Fairchild F-27,N2703,6,3,3,0,NA,Y
1807,1807,1807,1,26,1963,,Alaska,Skyvan Airways,,,Curtiss C-46F,N67933,22380,2,1,0,NA,Y
1808,1808,1808,1,29,1963,22:44,Missouri,Continental Airlines,290,"Midland, TX - Kansas City, MO",Vickers Viscount 812,N242V,356,8,8,0,NA,Y
1809,1809,1809,1,30,1963,,Maryland,Military - U.S. Navy,,,Lockheed P-3A Orion,,,14,14,0,NA,Y
1810,1810,1810,2,1,1963,17:15,Turkey,Middle East Airlines / Military - Turkish Air ForceC-47,265,Nicosia - Ankara,Vickers Viscount 754D,OD-ADE,244,17,17,87,NA,Y
1811,1811,1811,2,3,1963,12:07,California,Slick Airways,40,,Lockheed 1049H Super Constellation,N9740Z,4851,8,3,0,NA,Y
1812,1812,1812,2,8,1963,,Russia,Aeroflot,,Training,Antonov An-10A,CCCP-11193,402104,7,7,0,NA,Y
1813,1813,1813,2,12,1963,13:48,Florida,Northwest Orient Airlines,705,Miami - Chicago,Boeing B-720-051B,N724US,18354/224,43,43,0,NA,Y
1814,1814,1814,2,28,1963,21:29,Massachusetts,Eastern Air Lines,,,Douglas DC-7,N842D,454448/944,26,0,1,NA,Y
1815,1815,1815,3,2,1963,10:02,Philippines,Philippine Air Lines,984,Cotabato - Davao,Douglas DC-3,PI-C489,16115/32863,27,27,0,NA,Y
1816,1816,1816,3,5,1963,18:20,Tennesee,Private,-,Kansas City - Dyersburg - Nashville,Piper PA-24-250 Comanche,N7000P,24-2144,4,4,0,NA,Y
1817,1817,1817,3,15,1963,5:40,Iran,Middle East Airlines,,Tehran - Beirut,Avro 685 York C1,OD-ACZ,1218,4,4,0,NA,Y
1818,1818,1818,3,15,1963,13:55,Bolivia,Lloyd Aereo Boliviano,915,Arica - La Paz,Douglas DC-6B,CP-707,43547/204,41,41,0,NA,Y
1819,1819,1819,3,20,1963,2:23,Italy,Saudi Arabian Royal Flight,,Geneva - Nice,de Havilland Comet 4C,SA-R-7,6461,18,18,0,NA,Y
1820,1820,1820,3,23,1963,11:00,Japan,Military - Japan Air Self Defense Force,,,H-21B,,,10,10,0,NA,Y
1821,1821,1821,11,20,1964,21:14,Sweden,Linjefyg,,,Convair CV-440,SE-CCK,195,43,31,0,NA,Y
1822,1822,1822,3,30,1963,,Italy,Itavia,703,Pescara - Rome,Douglas DC-3,I-TAVI,16477/33225,11,11,0,NA,Y
1823,1823,1823,4,14,1963,12:18,Norway,Icelandair,,Copenhagen - Oslo,Vickers Viscount 759D,TF-ISU,149,12,12,0,NA,Y
1824,1824,1824,5,3,1963,13:27,Cameroon,Air Afrique,,Douala - Lagos,Douglas DC-6B,F-BIAO,45479/996,55,55,0,NA,Y
1825,1825,1825,5,3,1963,,Brazil,Cruzeiro,,Sao Paulo - Rio de Janeiro,Convair CV-340-59,PP-CDW,159,50,37,0,NA,Y
1826,1826,1826,5,12,1963,,Egypt,United Arab Airlines,,Cairo - Alexandria,Douglas DC-3,SU-AJX,,34,34,0,NA,Y
1827,1827,1827,6,3,1963,10:16,Alaska,Northwest Orient Airlines,293,McChord AFB - Elmendorf AFB,Douglas DC-7CF,N290,45209/861,101,101,0,NA,Y
1828,1828,1828,6,3,1963,4:25,India,Indian Airlines,,Amritsar - Srinagar,Douglas C-47,VT-AUL,20265,29,29,0,NA,Y
1829,1829,1829,6,10,1963,,Burma,Union of Burma Airways,,Rangoon - Putao,Douglas DC-3,XY-ACS,9877,20,20,0,NA,Y
1830,1830,1830,6,16,1963,,Romainia,Tarom,,Munchen - Constanta,VEB 14P,YR-ILL,14803072,31,31,0,NA,Y
1831,1831,1831,6,16,1963,,Chile,Military - Chilean Air Force,,,Douglas C-47A,FAC-953,19461,20,19,0,NA,Y
1832,1832,1832,6,23,1963,12:00,West Germany,Military - Royal Belgian Air Force,,,Fairchild C-119,CP-45,,47,38,0,NA,Y
1833,1833,1833,6,26,1963,,Germany,Military - Belgian Air Force,,,Kaiser-Fraser C-119G,CP-45,246,47,38,0,NA,Y
1834,1834,1834,7,1,1963,,Brazil,Varig,,Carazinbo - Passo Fundo,Douglas DC-3,PP-VBV,15444/26889,18,15,0,NA,Y
1835,1835,1835,7,2,1963,15:49,New York,Mohawk Airlines,112,Rochester - Newark,Martin 404,N449A,14140,43,7,0,NA,Y
1836,1836,1836,7,3,1963,9:09,New Zealand,New Zealand National Airways,441,Auckland - Whenuapai - Tauranga,Douglas DC-3,ZK-AYZ,15204/26889,23,23,0,NA,Y
1837,1837,1837,7,13,1963,,Russia,Aeroflot,,Moscow - Irkutsk,Tupolev TU-104B,CCCP42492,21605,35,35,0,NA,Y
1838,1838,1838,7,15,1963,,Madagascar,Air Madagascar,,,Douglas C-47,5R-MAJ,12813,12,6,0,NA,Y
1839,1839,1839,7,17,1963,,Laos,Air America,,,Curtiss C-46F,B-148,22510,6,6,0,NA,Y
1840,1840,1840,7,27,1963,1:50,India,United Arab Airlines,869,Bangkok - Bombay,de Havilland Comet 4C,SU-ALD,6441,63,63,0,NA,Y
1841,1841,1841,8,8,1963,,South Africa,Military - South African Air Force,,,Avro Shackleton MR3,1718K,1528,13,13,0,NA,Y
1842,1842,1842,8,12,1963,13:19,France,Air Inter,2611,Lille - Lyon,Vickers Viscount 708,F-BGNV,39,20,20,1,NA,Y
1843,1843,1843,8,14,1963,15:00,Montana,American Air  Export & Import Co.,1814,,Curtiss C-46F-1-CU,N67941,22391,2,1,0,NA,Y
1844,1844,1844,8,17,1963,,Japan,Fujita Koku Kabushki Kai,,,de Havilland DH-114 Heron,JA6155,14026,19,19,0,NA,Y
1845,1845,1845,8,21,1963,12:15,Russia,Aeroflot,,Tallinn - Moscow,Tupelov Tu-124,CCCP-45021,2350701,52,0,0,NA,Y
1846,1846,1846,8,28,1963,12:30,Florida,Military - U.S. Air Force / Military -  U.S. Air Force,,,Boeing KC-135A / Boeing KC-135A,61-0319/61-0322,18226/18229,16,16,0,NA,Y
1847,1847,1847,9,4,1963,6:22,Switzerland,Swissair,306,Zurich - Geneva,Sud-Aviation Caravelle III,HG-ICV,147,80,80,0,NA,Y
1848,1848,1848,9,11,1963,,France,Air Nautic,,London - Perpignan,Vickers Viking 1B,F-BJER,216,40,40,0,NA,Y
1849,1849,1849,9,11,1963,,India,Indian Airlines,,Madras - Nagpur - Delhi.,Vickers Viscount 768D,VT-DIO,192,18,18,0,NA,Y
1850,1850,1850,9,22,1963,,Deleware,Military - U.S. Air Force,,,Douglas C-133A,56-2002,45167,10,10,0,NA,Y
1851,1851,1851,10,9,1963,,France,Aeronaves de Panama,,"Marseilles, France - Dhah, Saudi Arabia",Douglas C-74,HP-385,13915,6,6,0,NA,Y
1852,1852,1852,10,14,1963,11:33,New York,New York Airways,600,Idlewild - Newark,Boeing Vetrol 107 II helicopter,N6673D,3,6,6,0,NA,Y
1853,1853,1853,10,18,1963,,Egypt,Military - Soviet Air Force,,,Antonov AN-12,,,31,31,0,NA,Y
1854,1854,1854,10,20,1963,,Russia,Aeroflot,,,Ilyushin IL-14,CCCP-04188,6341301,5,5,0,NA,Y
1855,1855,1855,10,22,1963,10:40,England,British Aircraft Corporation,,Test flight,BAC One-Eleven 200AB,G-ASHG,4,7,7,0,NA,Y
1856,1856,1856,11,8,1963,17:59,Finland,Finnair,217,Turku - Mariehamn,Douglas DC-3,OH-LCA,9799,24,22,0,NA,Y
1857,1857,1857,11,29,1963,18:33,Canada,Trans Canada Air Lines,831,Montreal - Toronto,McDonnell Douglas DC-8F-54F,CF-TJN,45654/179,118,118,0,NA,Y
1858,1858,1858,12,7,1963,19:19,Colorado,Zantop Air Transport,,Lowery AFB - Ogden Hill AFB,Curtis C-46A-20-CU,N609,26571,3,3,0,NA,Y
1859,1859,1859,12,8,1963,20:59,Maryland,Pan American World Airways,214,Washington - Baltimore - Philadelphia,Boeing B-707-121,N709PA,17588/3,81,81,0,NA,Y
1860,1860,1860,12,12,1963,10:15,Afghanistan,Trans Mediterranean Airways,,Kawait - Kabul,Douglas C-54A,OD-AEB,10424,3,3,0,NA,Y
1861,1861,1861,12,15,1963,,Egypt,Misrair,,Cairo - Luxor,Vickers 634 Viking 1B,SU-AFK,213,6,6,0,NA,Y
1862,1862,1862,12,17,1963,23:41,California,Western Airlines,,,Douglas DC-6B,N93131,45536,46,0,0,NA,Y
1863,1863,1863,1,9,1964,9:50,Argentina,Aerolineas Litoral Argentina,,Rosario - Buenos Aires,Douglas DC-3,LV-FYJ,14713/26158,30,28,0,NA,Y
1864,1864,1864,1,22,1964,23:00,Arizona,Commercial Air Taxi,,,Piper PA-23,N2136P,,2,2,0,NA,Y
1865,1865,1865,2,3,1964,,Turkey,Turkish Airlines (THY),,Istanbul - Ankara,Douglas C-47A,TC-ETI,12319,3,3,0,NA,Y
1866,1866,1866,2,3,1964,8:00,Florida,South Central Airlines,510/3,Gainsville - Jacksonville,Beech D18S,N2999,A-811,10,10,0,NA,Y
1867,1867,1867,2,4,1964,,Bolivia,Lloyd Aéreo Boliviano,,,Douglas DC-3,CP- 568,19024,29,2,0,NA,Y
1868,1868,1868,2,8,1964,,Bahamas,Private air taxi,-,"Freeport, Grand Bahamas - West Palm Beach, FL",Piper PA-23,N2157P,,4,4,0,NA,Y
1869,1869,1869,2,15,1964,,Michigan,Commercial Air Taxi,,Detroit - Akron,Piper Aero Commander 560E,N3823C,,4,4,0,NA,Y
1870,1870,1870,2,18,1964,15:40,India,Military - Indian Air Force,,,Ilyushin IL-14,,,13,13,0,NA,Y
