"","X.2","X.1","X","Month","Day","Year","Time","Location","Operator","Flight..","Route","Type","Registration","cn.In","Aboard","Fatalities","Ground","Summary","CrashStatus"
"2466",2466,2466,2466,8,12,1971,"14:27","Alaska","Trans Alaska Helicopter - Air Taxi","","Valdez, AK - Local","Sikorsky S-55B","N5096V","",2,2,0,NA,"Y"
"2468",2468,2468,2468,8,19,1971,"20:40","Maine","Downeast Airlines","","Boston, MA - Rockville, ME diverted to  Augusta ME","Piper PA-31","N595DE","31-422",8,3,0,NA,"Y"
"2470",2470,2470,2470,9,4,1971,"11:15","Alaska","Alaska Airlines","1866","Anchorage - Seattle","Boeing B-727-193","N2969G","19304/287",111,111,0,NA,"Y"
"2472",2472,2472,2472,9,15,1971,"0:16","Mississippi","C and C Aviaiton - Air Taxi","","Temple, TX - Columbus, GA","Aero Commander 560-A","N2779B","",5,5,0,NA,"Y"
"2474",2474,2474,2474,9,16,1971,"","USSR","Malev Hungarian Airlines","","Budapest - Kiev","Tupolev TU-134A","HA-LBD","9350801",49,49,0,NA,"Y"
"2476",2476,2476,2476,10,2,1971,"11:10","Belgium","British European Airways","706","London - Salzburg","Vickers Vanguard 951","G-APEC","706",63,63,0,NA,"Y"
"2478",2478,2478,2478,10,16,1971,"9:45","Arizona","SceniAir Lines","","Las Vegas - Grand Canyon","Cessna 402","N3250Q","",10,10,0,NA,"Y"
"2480",2480,2480,2480,10,17,1971,"","Colombia","Aerolineas TAO","","","Douglas C-47A","HK- 595","19348",22,20,0,NA,"Y"
"2482",2482,2482,2482,10,23,1971,"","South Vietnam","Military - Vietnamese Air Force","","","Douglas C-47","","",31,31,0,NA,"Y"
"2484",2484,2484,2484,11,9,1971,"5:40","Italy","Military - Royal Air Force","","San Giusto - Sardinia","Lockheed C-130K Hercules","XV216","4243",52,52,0,NA,"Y"
"2486",2486,2486,2486,11,12,1971,"","Russia","Aeroflot","","","Antonov AN-24","CCCP-46809","67302306",47,47,0,NA,"Y"
"2488",2488,2488,2488,11,28,1971,"13:30","South Vietnam","Military - U.S. Army","","Da Nang - Camp Eagle","Boeing Vertol CH-47C","68-15866","",34,34,0,NA,"Y"
"2490",2490,2490,2490,12,4,1971,"13:46","North Carolina","Eastern Air Lines","","Miami, FL - Raleigh, NC","Douglas DC-9-31 /Cessna 206","N8943E / N2110F","47166/265 / ",29,2,0,NA,"Y"
"2492",2492,2492,2492,12,21,1971,"","Bulgaria","Balkan Bulgarian Airlines","","Sofia IAP - Algiers","Ilyushin IL-18B","LZ-BES","185008104",73,28,0,NA,"Y"
"2494",2494,2494,2494,1,6,1972,"","Mexico","SAESA","","Chetumel - Merida","Hawker Siddeley HS-748-230 Srs. 2A","XA-SEV","1598",23,23,0,NA,"Y"
"2496",2496,2496,2496,1,18,1972,"1:04","Nebraska","Kime Flying Service - Air Taxi","","Omaha, NE - Hot Springs, SD","Piper PA-23","N4897P","",3,3,0,NA,"Y"
"2498",2498,2498,2498,1,21,1972,"","Colombia","Lineas Aéreas la Urraca","","Bogota - San Andres","Vickers Viscount 837","HK-1347","442",20,20,0,NA,"Y"
"2500",2500,2500,2500,1,26,1972,"16:10","Czechoslovakia","JAT Yugoslav Airlines","JU 367","Stockholm - Belgrade","McDonnell Douglas DC-9-32","YU-AHT","47482/592",28,27,0,NA,"Y"
"2502",2502,2502,2502,2,4,1972,"","Laos","Air America","","Ban Xon - Pha Khao","de Havilland Canada C-7A Caribou","393","51",38,1,0,NA,"Y"
"2504",2504,2504,2504,2,5,1972,"","Colombia","TAC Colombia","772","Bogota - Valledupar","Fairchild F-27","HK-1139","75",19,19,0,NA,"Y"
"2506",2506,2506,2506,2,16,1972,"2:55","Mississippi","Hankins Airways - Air Taxi","","Chicago, IL - Detroit, MI","Beechcraft D 18S","N80398","",2,2,0,NA,"Y"
"2508",2508,2508,2508,2,20,1972,"10:32","Idaho","Sun Valley Airways - Air Taxi","","Hailey, ID - Boise, ID","Beechcraft 65-B80","N1027C","",4,4,0,NA,"Y"
"2510",2510,2510,2510,3,3,1972,"20:48","New York","Mohawk Airlines","405","New York City - Albany, NY","Fairchild-Hiller FH-227-B","N7818M","541",48,16,1,NA,"Y"
"2512",2512,2512,2512,3,14,1972,"22:00","United Arab Emirates","Sterling Airways","296","Colombo - Dubai","Aerospatiale Caravelle Super 10B","OY-STL","267",112,112,0,NA,"Y"
"2514",2514,2514,2514,3,28,1972,"","Laos","Military - U.S. Air Force","","","Lockheed AC-130A Hercules","55-0044","3071",14,14,0,NA,"Y"
"2516",2516,2516,2516,4,12,1972,"21:26","Brazil","VASP","","Sao Paulo - Rio de Janeiro","NAMC YS-11A-211","PP-SMI","2059",25,25,0,NA,"Y"
"2518",2518,2518,2518,4,17,1972,"17:18","New York","Helaire Helicopter","","Sightseeing","Bell 47J-2","N8467E","",3,3,0,NA,"Y"
"2520",2520,2520,2520,4,20,1972,"","Peru","SATCO","","","Douglas C-47D","OB-R-653","17102/34369",6,6,0,NA,"Y"
"2522",2522,2522,2522,4,26,1972,"","Vietnam","Military - U.S. Air Force","","","Lockheed C-130E Hercules","64-0508","3992",6,6,0,NA,"Y"
"2524",2524,2524,2524,5,5,1972,"22:24","Italy","Alitalia","112","Rome - Palermo","McDonnell Douglas DC-8-43","I-DIWB","45625/150",115,115,0,NA,"Y"
"2526",2526,2526,2526,5,10,1972,"10:25","South Vietnam","Military - U.S. Army","","Bien Hoa - Vung Tau","Boeing Vertol CH47A (helicopter)","","",34,34,0,NA,"Y"
"2528",2528,2528,2528,5,21,1972,"","Angola","DTA Angola Airlines","","Luanda - Lobito - Sa Da Bandeira","Fokker F-27 Friendship 200","CR-LLD","10439",25,22,0,NA,"Y"
"2530",2530,2530,2530,5,29,1972,"6:04","Louisiana","Petrolium Helicopter","","Dulac, LA - Gulf oil platform","Bell 205A","N2256W","",11,11,0,NA,"Y"
"2532",2532,2532,2532,5,30,1972,"6:24","Texas","Delta Air Lines","9570","Training","McDonnell Douglas DC-9-14","N3305L","45700",4,4,0,NA,"Y"
"2534",2534,2534,2534,6,3,1972,"9:30","Kansas","Smyer Aircraft - Air Taxi","","Arkansas City, KS - White Plains, NY","Beechcraft E18S","N234AP","",2,2,0,NA,"Y"
"2536",2536,2536,2536,6,5,1972,"","Vietnam","Air America","","Siagon - Hue-Phu Bai - Pleiku","Curtiss C-46A","EM2","30460",32,32,0,NA,"Y"
"2538",2538,2538,2538,6,13,1972,"","South Vietnam","Military - Vietnamese Air Force","","","Boeing Vertol CH-47 (helicopter)","","",47,47,0,NA,"Y"
"2540",2540,2540,2540,6,15,1972,"14:00","Vietnam","Cathay PacifiAirways","700Z","Bangkok - Hong Kong","Convair CV-880-22M-21","VR-HFZ","22-7-1-53",81,81,0,NA,"Y"
"2542",2542,2542,2542,6,18,1972,"23:55","Vietnam","Military - U.S. Air Force","","","Lockheed AC-130A Hercules","55-0043","3070",15,12,0,NA,"Y"
"2544",2544,2544,2544,6,18,1972,"16:11","England","British European Airways","548","London - Brussels","Hawker Siddeley Trident 1C","G-ARPI","2109",118,118,0,NA,"Y"
"2546",2546,2546,2546,6,25,1972,"13:17","New York","Seventy Airways - Air Taxi","","Almond Dam, NY - Salamanica, NY","Hughes 369HS","N9067F","",3,3,0,NA,"Y"
"2548",2548,2548,2548,6,29,1972,"","England","Inter City Flug","","","MBB HFB-320 Hansa Jet","D-CASY","1029",8,7,0,NA,"Y"
"2550",2550,2550,2550,7,5,1972,"","California","PacifiSouthwest Airlines","710","Sacramento - San Francisco","Boeing 737-200","","",86,3,0,NA,"Y"
"2552",2552,2552,2552,7,11,1972,"","South Vietnam","Military - U.S. Marine Corps","","","Sikorsky CH-53D (helicopter)","156658","",67,52,0,NA,"Y"
"2554",2554,2554,2554,7,20,1972,"","Greece","Charter","","","Sud-Aviation SE210 Caravelle","","",84,1,0,NA,"Y"
"2556",2556,2556,2556,8,12,1972,"4:00","South Vietnam","Military - U.S. Air Force","","","Lockheed C-130E","62-1853","3817",44,30,0,NA,"Y"
"2558",2558,2558,2558,8,14,1972,"17:00","East Germany","Interflug","","Berlin - Birgas","Ilyushin IL-62","DM-SEA","702",156,156,0,NA,"Y"
"2560",2560,2560,2560,8,27,1972,"","Venezuela","Lineas Areas Venezolanas","","Canaima - C iudad","Douglas C-47-DL","YV-C-AKE","4705",34,34,0,NA,"Y"
"2562",2562,2562,2562,8,31,1972,"","Russia","Aeroflot","","","Ilyushin IL-18","CCCP-74298","182004505",101,101,0,NA,"Y"
"2564",2564,2564,2564,9,7,1972,"17:57","Bolivia","Servicios Aereas Virgen de Copacabana","","","Curtiss C-46A-40-CU","CP-959","26903",8,1,0,NA,"Y"
"2566",2566,2566,2566,9,13,1972,"12:00","Nepal","Military - Royal Nepalese Air Force","","Panchkhal - Tribuvan","Douglas C-47","9N-RF10","9950",31,31,0,NA,"Y"
"2568",2568,2568,2568,9,24,1972,"","South Vietnam","Air Vietnam (South Vietnam)","","Vientiane - Saigon","Douglas C-54D-1-DC","XV-NUH","10588",13,10,0,NA,"Y"
"2570",2570,2570,2570,10,2,1972,"","Cambodia","Cambodia Air","","","Douglas DC-3","XW-TDA","13729",9,9,0,NA,"Y"
"2572",2572,2572,2572,10,12,1972,"18:12","North AtlantiOcean","Flamingo Airlines - Air Taxi","","Bimini, Bahamas - Nassau, Bahamas","Aero Commander 680E","N4900","",2,2,0,NA,"Y"
"2574",2574,2574,2574,10,13,1972,"15:30","Chile","Uruguayan Air Force - TAMU","","Mendoza - Santiago","Fairchild-Hiller FH-227D/LCD","T-571","572",45,29,0,NA,"Y"
"2576",2576,2576,2576,10,21,1972,"c:09:00","Greece","OlympiAirways","","Kerkira - Athens","NAMC YS-11A-202","SX-BBQ","2155",53,37,0,NA,"Y"
"2578",2578,2578,2578,10,27,1972,"19:20","France","Air Inter","696","Lyon - Clermont","Vickers Viscount 724","F-BMCH","50",68,60,0,NA,"Y"
"2580",2580,2580,2580,10,31,1972,"18:00","South Vietnam","Military - U.S. Army","","","Boeing Vertol CH-47 (helicopter)","","",22,22,0,NA,"Y"
"2582",2582,2582,2582,11,17,1972,"23:20","Kentucky","Metro Air Systems","","Hopkinsville, KY - Lexington, KY","Beech G18S","N2700S","",11,11,0,NA,"Y"
"2584",2584,2584,2584,11,29,1972,"20:27","Minnesota","Luthi Aviation - Air Taxi","","Minneapolis, MN - St. Paul, MN","Beechcraft C-45H","N717B","",2,2,0,NA,"Y"
"2586",2586,2586,2586,12,5,1972,"15:05","Egypt","EgyptAir","","Training","Boeing 707-336C","SU-AOW","19845/809",6,6,0,NA,"Y"
"2588",2588,2588,2588,12,6,1972,"","Canada","Superior Airways","","","Douglas C-47B-15-DK","CF-AUQ","15281/26726",3,3,0,NA,"Y"
"2590",2590,2590,2590,2,12,1973,"19:15","Washington","Red Carpet Flying Service - Air Taxi","","Spokan, WA - Walla Walla, WA","Cessna 320E","N3483Q","",4,4,0,NA,"Y"
"2592",2592,2592,2592,12,15,1972,"11:46","Michigan","Zantop Airways","","Detroit, MI - Lexington, KY","Learjet 23","N20M","23-094",2,2,1,NA,"Y"
"2594",2594,2594,2594,12,21,1972,"","Laos","Military - U.S. Air Force","","","Lockheed AC-130A Hercules","56-0490","3098",16,14,0,NA,"Y"
"2596",2596,2596,2596,12,23,1972,"","Norway","Braathens","","Alesund - Oslo","Fokker F-28 Fellowship 1000","LN-SUY","11011",45,40,0,NA,"Y"
"2598",2598,2598,2598,12,31,1972,"19:23","Puerto Rico","American Express Leasing","","San Juan, PR - Managua, Nicaragua","Douglas DC-7CF","N500AE","45130/823",5,5,0,NA,"Y"
"2600",2600,2600,2600,1,19,1973,"14:31","England","British European Airways","","Test flight","Vickers 802 Viscount","G-AOHI","158",4,4,0,NA,"Y"
"2602",2602,2602,2602,1,22,1973,"9:30","Nigeria","Alia Royal Jordanian Airlines","","Jeddah - Lagos","Boeing B-707-3D3C","JY-ADO","20494/850",202,176,0,NA,"Y"
"2604",2604,2604,2604,1,27,1973,"","Honduras","TAN","","","Douglas DC-6A","HR-TNO","45476/977",3,3,0,NA,"Y"
"2606",2606,2606,2606,1,31,1973,"12:20","Alaska","Harry Faulkner - Air Taxi","","Bethel, AK - Chevak, AK","Cessna 180H","N9929V","",2,2,0,NA,"Y"
"2608",2608,2608,2608,2,19,1973,"9:15","Louisiana","Petrolium Helo Inc.","","Oil platform - Morgan City, LA","Bell 206B","N14831","",5,5,0,NA,"Y"
"2610",2610,2610,2610,2,21,1973,"14:10","Egypt","Libya Arab Airlines","114","Tripoli - Cairo","Boeing B-727-224","5A-DAH","20244/650",113,110,0,NA,"Y"
"2612",2612,2612,2612,2,24,1973,"","Russia","Aeroflot","","","Ilyushin IL-18","CCCP-75712","189001804",79,79,0,NA,"Y"
"2614",2614,2614,2614,2,28,1973,"","Poland","Military - Polish Air Force","","","Antonov An-24B","12","97305702",15,15,0,NA,"Y"
"2616",2616,2616,2616,2,28,1973,"","Indonesia","Merpati Nusantara Airlines","","","de Havilland Canada DHC-6 Twin Otter 100","PK-NUC","70",13,13,0,NA,"Y"
"2618",2618,2618,2618,3,5,1973,"","Portugal","Aviaco","","","Sud Aviation SE-210 Caravelle","EC-BID","228",3,3,0,NA,"Y"
"2620",2620,2620,2620,3,7,1973,"","Laos","Air America","","","Fairchild C-123","524","20185",4,4,0,NA,"Y"
"2622",2622,2622,2622,3,15,1973,"14:00","Maine","Military - U.S. Navy","","","Lockheed P-3B Orion","152749","185-5189",5,5,0,NA,"Y"
"2624",2624,2624,2624,4,10,1973,"10:13","Switzerland","Invicta International Airlines (UK)","","Bristol - Basel","Vickers Vanguard 952","G-AXOP","745",145,108,0,NA,"Y"
"2626",2626,2626,2626,4,12,1973,"14:50","California","Military - U.S. Navy","","","Lockheed P-3C Orion /Convair CV-990","N711NA / 157332"," / 185-5547",16,15,0,NA,"Y"
"2628",2628,2628,2628,4,19,1973,"17:04","Iowa","Air Iowa","","","Beech E18S","N310WA","",6,6,0,NA,"Y"
"2630",2630,2630,2630,5,16,1973,"10:45","Alaska","Winship Air Service - Air Taxi","","Fairbanks, AK - Prudhoe, Alaska","Swearingen SA26T","N1214S","",5,2,0,NA,"Y"
"2632",2632,2632,2632,5,19,1973,"","Cambodia","Cambodia Air","","","Douglas C-47A","XW-TDM","10078",11,11,0,NA,"Y"
"2634",2634,2634,2634,5,31,1973,"21:50","India","Indian Airlines","","Madras - Delhi","Boeing B-737-2A8","VT-EAM","20486/279",65,48,0,NA,"Y"
"2636",2636,2636,2636,6,3,1973,"","France","Aeroflot","","Demonstration","Tupolev TU-144","CCCP-77102","2-Jan",6,6,8,NA,"Y"
"2638",2638,2638,2638,6,20,1973,"","Mexico","Aeromexico","","Houston - Puerto Vallarta","McDonnell Douglas DC-9-15","XA-SOC","47100/153",27,27,0,NA,"Y"
"2640",2640,2640,2640,7,11,1973,"14:03","France","Varig","820","Rio - de Janerio - Paris","Boeing B-707-345C","PP-VJZ","19106/683",134,123,0,NA,"Y"
"2642",2642,2642,2642,7,23,1973,"16:43","Missouri","Ozark Air Lines","809","Marion, IL - St. Louis","Fairchild-Hiller FH-227B","N4215","513",44,38,0,NA,"Y"
"2644",2644,2644,2644,7,31,1973,"10:08","Massachusett","Delta Air Lines","723","Burlilngton, VT  - Boston, MA","McDonnell Douglas DC-9-31","N975NE","47075/166",89,89,0,NA,"Y"
"2646",2646,2646,2646,10,13,1973,"20:15","Russia","Aeroflot","964","Tbilisi - Moscow","Tupolev TU-104B","SSR-42486","21504",119,119,0,NA,"Y"
"2648",2648,2648,2648,8,15,1973,"14:50","Haiti","Private","","Port Au Prince - Cap Haitien","Norman BN-2A-6","N38JA","211",10,10,0,NA,"Y"
"2650",2650,2650,2650,8,22,1973,"","Colombia","AVIANCA","","Villavicencio - El Yopal","Douglas DC-3","HK-111","4105",17,16,0,NA,"Y"
"2652",2652,2652,2652,8,28,1973,"21:45","Spain","Military - U.S. Air Force","","Athens - Madrid","Lockheed C-141A","63-8077","6008",25,24,0,NA,"Y"
"2654",2654,2654,2654,9,4,1973,"22:30","Indiana","Aegler Stuart Flying Service  / Private","","Grand Rapids, MI - Gary, IN","Piper PA-30 / Cessna 337A","N7881Y / N6270F","",5,4,0,NA,"Y"
"2656",2656,2656,2656,9,9,1973,"15:18","Kentucky","Wicks Flying Service - Air Taxi","","Humbolt, TN - Paintsville, KY","Cessna 310H","N1834H","",4,4,0,NA,"Y"
"2658",2658,2658,2658,9,20,1973,"22:45","Louisiana","Private Charter","-","Natchitoches, La - Dallas, TX","Beechcraft E18S","N50JR","BA-176",6,6,0,NA,"Y"
"2660",2660,2660,2660,9,25,1973,"6:18","Nebraska","Lisa Jet Inc. - Air Taxi","","Lincoln, NB - Omaha, NB","Gates Lear 25","N40LB","",3,3,0,NA,"Y"
"2662",2662,2662,2662,9,30,1973,"","Brazil","Aeronorte","","","Douglas DC-3A","PT-CEV","20182",9,9,0,NA,"Y"
"2664",2664,2664,2664,10,2,1973,"","Russia","Aeroflot","","","Antonov AN-12V","CCCP-12967","9346502",10,10,0,NA,"Y"
"2666",2666,2666,2666,10,23,1973,"","Brazil","VASP","","Rio de Janeiro - Belo Horizonte","NAMC YS-11A-211","PP-SMJ","2068",65,8,0,NA,"Y"
"2668",2668,2668,2668,10,31,1973,"6:05","California","Jack N. Boswick - Air Taxi","","La Verne, California - Willow Rock, Arizona","Cessna 401A","N6273Q","",7,2,0,NA,"Y"
"2670",2670,2670,2670,11,3,1973,"16:40","New Mexico","National Airlines","27","Miami, FL - San Francisco, CA","McDonnell Douglas DC-10-10","N60NA","46700/14",128,1,0,NA,"Y"
"2672",2672,2672,2672,11,17,1973,"","Vietnam","Air Vietnam (South Vietnam)","","","Douglas DC-3","XV-NIE","14910/26355",27,27,0,NA,"Y"
"2674",2674,2674,2674,12,9,1973,"22:55","Canada","Churchill Falls Co.","","Montreal - Churchill Falls","de Havilland DH-125-400A","CF- CFL","NA741/25213",8,8,0,NA,"Y"
"2676",2676,2676,2676,12,16,1973,"","Lithuania","Aeroflot","","","Tupolev TU-124","CCCP-45061","3351406",51,51,0,NA,"Y"
"2678",2678,2678,2678,12,18,1973,"19:14","Kansas","Capitol Air Service - Air Taxi","","Norman, OK - Manhattan, KS","Cessna 310L","N3269X","",2,2,0,NA,"Y"
"2680",2680,2680,2680,12,21,1973,"","South Vietnam","Military - Vietnamese Air Force","","","Boeing Vertol CH-47 (helilcopter)","","",20,20,0,NA,"Y"
"2682",2682,2682,2682,12,23,1973,"","USSR","Aeroflot","","","Tupolev TU-124","CCCP-45004","350202",17,17,0,NA,"Y"
"2684",2684,2684,2684,1,1,1974,"12:38","Italy","Itavia","","Bologna - Torino","Fokker F-28 Fellowship 1000","I-TIDE","11015",42,38,0,NA,"Y"
"2686",2686,2686,2686,1,6,1974,"18:05","Pennsylvania","Air East","","Pittsburgh, PA - Johnstown, PA","Beechcraft 99A","N125AE","U-125",17,12,0,NA,"Y"
"2688",2688,2688,2688,1,9,1974,"16:36","Colombia","Military - Colombian Air Force","","Florencia - Bogota","Hawker Siddeley HS 748-260","FAC-1103","1704",31,31,0,NA,"Y"
"2690",2690,2690,2690,1,17,1974,"18:15","Colombia","Cessnyca","","","Douglas DC-3A","HK-1216","1905",14,14,0,NA,"Y"
"2692",2692,2692,2692,1,25,1974,"6:58","Washington","Inland Aviation - Air Taxi","","Ephrata, WA - Portland, OR","Cessna 172L","N7888G","",2,2,0,NA,"Y"
"2694",2694,2694,2694,1,27,1974,"13:15","New Mexico","Taos Airways - Air Taxi","","Taos, NM - Albuquerque, NM","Beechcraft J-35","N633Q","",3,3,0,NA,"Y"
"2696",2696,2696,2696,1,30,1974,"23:41","American Samoa","Pan American World Airways","806","Auckland - Pago Pago","Boeing B-707-321B","N454PA","19376/661",101,96,0,NA,"Y"
"2698",2698,2698,2698,2,9,1974,"17:30","Crete","Military - West German Air Force","","","Transall C-160D","50-63","",40,35,0,NA,"Y"
"2700",2700,2700,2700,2,22,1974,"","Maryland","Delta Air Lines","523","Baltimore - Atlanta","MDonnell Dougals DC-9","","",15,1,0,NA,"Y"
"2702",2702,2702,2702,2,28,1974,"","Iran","Military - Imperial Iranian Air Force","","","Lockheed C-130E Hercules","5-122","4393",10,10,0,NA,"Y"
"2704",2704,2704,2704,3,8,1974,"","Vietnam","Pathet Lao Airlines","","","Antonov An-24","","",18,18,0,NA,"Y"
"2706",2706,2706,2706,3,13,1974,"19:28","California","Sierra PacifiAirlines","802","Bishop - Burbank","Convair CV-440","N4819C","138",36,36,0,NA,"Y"
"2708",2708,2708,2708,4,4,1974,"2:35","Botswana","Wenela Air Services","","Francistown - Malawi","Douglas DC-4","A2-ZER","27242",84,78,0,NA,"Y"
"2710",2710,2710,2710,4,22,1974,"15:26","Indonesia","Pan American World Airways","812","Hong Kong - Bali, Indonesia - Sydney, Austrailia","Boeing B-707-321C","N446PA","19268/544",107,107,0,NA,"Y"
"2712",2712,2712,2712,4,27,1974,"","Russia","Aeroflot","","","Ilyushin IL-18B","CCCP-75559","184007703",118,118,0,NA,"Y"
"2714",2714,2714,2714,5,2,1974,"19:30","Ecuador","Aero Taxis Equatorianos","","Pastaza - Ambato","Douglas C-47","HC-AUC","",24,22,0,NA,"Y"
"2716",2716,2716,2716,5,23,1974,"16:55","Illinois","Saturn Airways","","Alameda, CA - Indianapolis, IN","Lockheed L-100-30 Hercules","N14ST","4225",3,3,0,NA,"Y"
"2718",2718,2718,2718,5,31,1974,"","Canada","Lambair","","","Bristol 170 Freighter 31E","CF-QWJ","13078",2,2,0,NA,"Y"
"2720",2720,2720,2720,6,27,1974,"","Khmer Republic","Cambodia Air","1999","Battambang - Phnom Penh","Boeing 307B-1 Stratoliner","XW-TFR","1999",39,19,0,NA,"Y"
"2722",2722,2722,2722,7,24,1974,"9:45","Colombia","Aeronorte Colombia","","","Douglas DC-4","HK-728","10507",3,3,0,NA,"Y"
"2724",2724,2724,2724,8,5,1974,"","Canada","Laurentian Air Services","","LaTuque - St. Honore","Douglas DC-3","C-FTAT","11850",11,5,0,NA,"Y"
"2726",2726,2726,2726,8,11,1974,"","Upper Volta","Air  Mali","","Bamako, Mali - Kano, Nigeria","Ilyushin IL-18B","TZ-ABE","181003304",60,47,0,NA,"Y"
"2728",2728,2728,2728,8,13,1974,"18:35","Alaska","MerriAviation - Air Taxi","","Dietrich, AK - Happy Valley, AK","de Havilland DHC-2","N7620","",4,4,0,NA,"Y"
"2730",2730,2730,2730,8,18,1974,"","Bolivia","Military - U.S. Air Force","","Howard AFB, Panama - La Paz, Bolivia","Lockheed C-141A","65-0274","300-6126",7,7,0,NA,"Y"
"2732",2732,2732,2732,9,7,1974,"","Indonesia","Garuda Indonesia Airlines","","","Fokker F-27 Friendship 600","PK-GFJ","10422",39,35,0,NA,"Y"
"2734",2734,2734,2734,9,11,1974,"7:34","North Carolina","Eastern Air Lines","212","Charleston, SC - Charlotte, NC - Chicago, IL","McDonnell Douglas DC-9-31","N8984E","47400/443",82,70,0,NA,"Y"
"2736",2736,2736,2736,9,19,1974,"3:50","California","Riverside Air","","Las Vegas, NV - Riverside, CA","Piper PA-32","N15528","",5,5,0,NA,"Y"
"2738",2738,2738,2738,10,1,1974,"21:40","Alaska","Winship Air Service","","Fairbanks, AK - Lupine, AK","Volpar 18","N357V","",6,6,0,NA,"Y"
"2740",2740,2740,2740,10,9,1974,"","Alaska","Evergreen Helicopter - Air Taxi","","","Bell 205A","N2970W","",3,3,0,NA,"Y"
"2742",2742,2742,2742,10,13,1974,"","Formosa Strait","Military - U.S. Air Force","","","Lockheed WC-130H Hercules","65-0965","4106",6,6,0,NA,"Y"
"2744",2744,2744,2744,10,19,1974,"1:15","Philippines","Mabuhay Airways","","","Douglas DC-3","RP-C643","15551/26996",8,1,0,NA,"Y"
"2746",2746,2746,2746,10,24,1974,"19:30","Oklahoma","AltusFlying Service - Air Taxi","","Dallas, TX - Altus, OK","Piper PA-31","N979L","",4,2,0,NA,"Y"
"2748",2748,2748,2748,11,9,1975,"","Alaska","Willow Air Service - Air Taxi","","Willow, AK - Local","Piper PA-18","N2580P","",3,3,0,NA,"Y"
"2750",2750,2750,2750,10,28,1974,"16:45","Colorado","Hlavka Aviation - Air Taxi","","Gallup, NM - Rapid City, SD","Beechcraft 95-B55","N414K","",2,2,0,NA,"Y"
"2752",2752,2752,2752,11,7,1974,"","Denmark","","","","Britten-Norman BN-2A Islander","OY-DVJ","154",3,3,0,NA,"Y"
"2754",2754,2754,2754,11,15,1974,"","Philippines","Orient Air System and Integrated Services","","","Douglas C-47A-30","RP-C570","25452/14007",8,1,0,NA,"Y"
"2756",2756,2756,2756,11,20,1974,"7:50","Kenya","Lufthansa","540","Nairobi - Johannesburg","Boeing B-747-130","D-ABYB","19747/29",157,59,0,NA,"Y"
"2758",2758,2758,2758,12,1,1974,"19:26","New York","Northwest Orient Airlines","6231","New York City, NY - Buffalo, NY","Boeing B-727-251","N274US","20296",3,3,0,NA,"Y"
"2760",2760,2760,2760,12,4,1974,"22:15","Sri Lanka","Martinair Holland NV","","Surabaya - Jeddah","McDonnell Douglas DC-8-55F","PH-MHB","45818/242",191,191,0,NA,"Y"
"2762",2762,2762,2762,12,12,1974,"","South Vietnam","Military - Vietnamese Air Force","","","Boeing Vertol CH-47 (helicopter)","","",54,54,0,NA,"Y"
"2764",2764,2764,2764,12,22,1974,"12:30","Venezuela","Aerovias Venezolanas SA (Venezuela)","358","","McDonnell Douglas DC-9-14","YV-C-AVM","47056/89",77,77,0,NA,"Y"
"2766",2766,2766,2766,12,29,1974,"","Romania","Tarom","","","Antonov AN-24RV","YR-AMD","27307606",33,33,0,NA,"Y"
"2768",2768,2768,2768,1,3,1975,"","Vietnam","Air America","","Da Lat - Nha Trang","Fairchild C-123K","ST-1","20074",9,9,0,NA,"Y"
"2770",2770,2770,2770,1,6,1975,"","Argentina","Military - Argentine Navy","","","de Havilland Canada DHC-6 Twin Otter 200","AE-259","140",12,12,0,NA,"Y"
"2772",2772,2772,2772,1,9,1975,"16:07","California","Golden West Airlines / Private","261","Ontario - Los Angeles","de Hav Can. DHC-6 Tw Otter 100/ Cessna","N6383","83",14,14,0,NA,"Y"
"2774",2774,2774,2774,1,15,1975,"","Hunary","Malev Hungarian Airlines","","Berlin - Budapest","Ilyushin IL-18V","HA-MOH","184007104",9,9,0,NA,"Y"
"2776",2776,2776,2776,1,30,1975,"","Turkey","Turkish Airlines (THY)","","Izmir - Istanbul","Fokker F-28 Fellowship 1000","TC-JAP","11058",42,42,0,NA,"Y"
"2778",2778,2778,2778,2,1,1975,"","Alaska","Kenai Air Service - Air Taxi","","Kenai, AK - Gulkana, AK","Piper PA-31","N54734","",2,2,0,NA,"Y"
"2780",2780,2780,2780,2,3,1975,"23:10","Philippines","Philippine Air Lines","","Manila - Iligan","Hawker Siddeley HS-748 2","RP-C1028","1590",33,32,0,NA,"Y"
"2782",2782,2782,2782,2,16,1975,"19:00","Alaska","PacifiAlaska Airlines","","Fairbanks - Happy Valley Camp","Douglas DC-6BF","N77DG","43520/222",3,3,0,NA,"Y"
"2784",2784,2784,2784,2,27,1975,"","Brazil","VASP","","Sao Paulo - Bauru","Embraer 110C Bandeirante","PP-SBE","110021",15,15,0,NA,"Y"
"2786",2786,2786,2786,3,12,1975,"18:00","South Vietnam","Air Vietnam (South Vietnam)","","","Douglas DC-4","XV-NUJ","10701",26,26,0,NA,"Y"
"2788",2788,2788,2788,3,18,1975,"","Sudan","Sudan Airways","","","de Havilland Canada DHC-6 Twin Otter 100","ST-ADB","85",6,5,0,NA,"Y"
"2790",2790,2790,2790,4,4,1975,"16:30","Vietnam","Military - U.S. Air Force","","Tan Son AFB - Clark AFB","Lockheed C-5A Galaxy","68-218","21",330,155,0,NA,"Y"
